,wl,proj.ref_white.no_filter,Grahams's desk at 2:00pm with blue sky AND overhead,Grahams's desk at 2:00pm with blue sky (NO overhead),Grahams's desk with blue sky (NO overhead),East facing window sill with blue sky at 2:10 (NO artificial light),Desk near east  facing window sill with blue sky at 2:10 (NO artificial light),Hall outside Brian's office,Window near Lou's office,Hall outside Kobus's office - strong sunny spot,Hall outside Kobus's office - shady part,Sun through window near satelite dish,Shade near window near satelite dish,Scattered sun near funky window near satelite dish,Lit spot (not bright) at north end of mezzanine (near spider),Shady spot at north end of mezzanine (near spider),Floor of common room near window (blue sky) with overheads.,Floor of common room near window (blue sky) with NO overheads.,Old desk near window (blue sky AND overheads),"Old office, desk near east facind window, and overhead",Middle of old office with overhead (far from window),NE corner of next lab (3 cm from wall on floor),"Floor in next lab near ""vesta""","Floor near wall in next lab next to ""spectrum""",ref-sun,ref-shade,ref in shade,ref in low sun,Courtyard between ASc and Kines: Bright sun,Courtyard between ASc and Kines: Bright sun (again with eyepiece shutter closed),Courtyard between ASc and Kines: Shade,Shade with some reflected light,"Sun through gap (IE, no sky)",Shade in very open denuded forest,Shade under evergreen tree with some filtered light,Shade under evergreen tree quite a bit of filtered light,Slightly tree filterred sun,"shade (partly open, overshadowed by some trees).",Sunny spot (filtered by trees admist shade in trees),Quite sunny spot (filtered by trees admist shade in trees),Very sunny spot (filtered by trees admist shade in trees),Shade on sidewalk east of ASc. (4:00),Shade outside math and stats,P-CW.REF-actual,S-WW.MB.ref.actual,proj.REF.actual,studio.REF.actual,"Middle of lab floor, overhead plus light through window (cloudy day)","Middle of lab floor, no overhead, light through window (cloudy day)","Desk near east facing lab window, overhead plus light through window (cloudy day)","Desk near east facing lab window, no overhead, light through window (cloudy day)",Outside west door to office (cloudy day),4 feet from door to satellite dish (cloudy day),On table supporting printer 'janus',Floor near mac printer (some light from outside - cloudy day),"Floor near north end of atrium (10000 level), cloudy daylight",Floor between CS and AS office door,Floor in middle of hall to 9000 level washrooms,"Floor overlooking AS open area, near 9896",Floor near AS information post near candy machine,"Outside east entrance to AS building, under cover",Floor near staris dropping down to 8000 level between AS and Academic advice,Floor near signpost near entrance to Kines wing,Corner just inside stairs up to Math by Academic advice,Amidst ferns near new outside stairs at SE end of AQ,Middle of landing of new outside stairs at SE end of AQ,"Top if new outside stairs at SE end of AQ, near foilage",Open area 40 feet north of top of new outside stairs at SE end of AQ,Under canopy of trees near top of new outside stairs at SE end of AQ - cloudy daylight,Under cover of SE end of AQ near entrance to Math and Stats - cloudy daylight,Amidst trees at SE end of AQ court - cloudy daylight,"Math hallway, 2 feet from door to 10340",Circular table furthest from window near math office - some cloudy daylight,Circular table closest to window near math office - much cloudy daylight,Floor 6 inches from Math office door - some cloudy daylight.,Floor in middle of math hallway near 10528,6 inches from SW Corner of hall overlooking bike stands - some cloudy daylight,3 feet from SW Corner of hall overlooking bike stands - much cloudy daylight,1.5 feet from SW Corner of hall overlooking bike stands - much cloudy daylight,Sylvania 50MR16Q (12VDC),Sylvania 50MR16Q (12VDC) + Roscolux 3202,Solux 3500K (12VDC),Solux 3500K (12VDC) + Roscolux 3202,Solux 4100K (12VDC),Solux 4100K (12VDC) + Roscolux 3202,Solux 4700K (12VDC),Solux 4700K (12VDC) + Roscolux 3202,Sylvania Warm White Fluorescent,Sylvania Cool White Fluorescent,Philips Ultralume Fluorescent,Halogen,Judge DAY: Macbeth 5000 Tube,Judge U30: Philips TL18W/84 Tube,Judge DAY: Macbeth 6500 Tube,Judge DAY: Macbeth 7500 Tube,Studio,Incadescent,P-CW,S-WW,desk
0,380,0.0003936,0.0001327,7.387e-05,5.809e-05,0.0001795,9.248e-05,9.816e-06,0.001643,0.01824,0.001139,0.003306,0.00131,0.003659,0.002458,0.002391,0.002414,0.002321,0.003194,0.00321,0.0002753,3.436e-05,0.0006344,0.0001273,0.002187,0.00163,0.003405,0.00165,0.02918,0.02961,0.01528,0.02034,0.01247,0.005571,0.003803,0.003627,0.0188,0.01344,0.002324,0.002663,0.00577,0.01231,0.0043,8.294e-05,4.416e-05,0.0002289,9.38e-05,0.0001648,5.163e-05,0.0002235,0.0001604,0.0005342,0.0009062,0.0002503,0.0008407,0.002289,7.917e-06,1.81e-05,0.0009773,0.00193,0.01131,0.0001006,9.766e-06,2.134e-05,0.002725,0.01351,0.00998,0.01933,0.004105,0.002267,0.00423,3.454e-06,0.0002539,0.0008512,6.496e-05,1.727e-05,5.976e-05,0.001256,0.0004153,0.0005081,0.0002617,0.0007638,0.0003835,0.001069,0.0005414,0.000912,0.0004731,3.752e-05,4.929e-05,3.218e-05,0.0001871,0.0001373,8.559e-06,0.0003018,0.0001971,0.001702,8.532e-05,0.0001576,0.0001903,8.532e-05
1,381,0.000408655725623,0.000144514714904,8.28114959746e-05,6.52856831148e-05,0.00020324745241,0.000104369626757,9.52918637742e-06,0.00169408227305,0.0182877763929,0.00116380143073,0.00371352270625,0.00133653746098,0.00372720911287,0.00245477214671,0.00238333377878,0.00239180831457,0.0022920134254,0.00316081363543,0.00317957491613,0.000277585076817,3.51154600591e-05,0.000631515036142,0.000132963851418,0.0021668372388,0.00160921728399,0.00334488770699,0.0016248309624,0.0289071581798,0.0292316383705,0.014989871575,0.0199943153432,0.0123752443859,0.00545419873047,0.00372423812822,0.00355240316729,0.0185051058215,0.0131615430972,0.00228096748724,0.0026314503203,0.00571233614309,0.0120617342862,0.00423740328644,8.59266899204e-05,4.60777503318e-05,0.000238633831933,9.49462115566e-05,0.000173491858436,5.52180560799e-05,0.000237145255729,0.000172137648704,0.000564969406376,0.00094758997388,0.000260330486272,0.000845348479086,0.00229857031834,8.31636876332e-06,1.67413636013e-05,0.00110975596696,0.00193906672515,0.011125847752,9.9514654395e-05,9.26002089447e-06,2.16956001304e-05,0.00268050087844,0.013297319149,0.00981995235169,0.018994089519,0.00404195829751,0.00223098519854,0.00416253355123,3.46710716956e-06,0.000249411782413,0.000847161647377,6.42553233169e-05,1.78462444163e-05,6.0896469528e-05,0.00125073630476,0.000414009074322,0.000528774132074,0.00027385772781,0.00079884250021,0.000404923571953,0.00110657478997,0.000563606295441,0.000935505939976,0.000487014328368,3.79682163249e-05,5.13208338979e-05,3.02579378294e-05,0.000190193614146,0.000136123878004,8.53842107366e-06,0.000295733876906,0.00019900001869,0.00173721629107,8.57474842302e-05,0.000167449598161,0.000192555482184,8.57474842302e-05
2,382,0.000423890942733,0.00015748401241,9.21960477721e-05,7.29085559958e-05,0.000228249099133,0.000116866652213,9.29432233104e-06,0.0017475445948,0.0183735485197,0.00119244639653,0.00416905973385,0.00136801895185,0.00380328947368,0.0024582987814,0.00238153371711,0.00237527829695,0.0022678258448,0.00313465505383,0.00315690329695,0.000281097473086,3.61108926435e-05,0.000630782696621,0.000139633436752,0.00215074663577,0.00159119807865,0.00329006608852,0.00160194508822,0.028686305323,0.0289107292913,0.0147286415969,0.01968681407,0.0123019972339,0.005347859375,0.00365243267793,0.00348449517793,0.0182446489982,0.0129072738487,0.00224199801884,0.00260436808463,0.00566488815789,0.0118344602273,0.0041813380308,8.92563935407e-05,4.81003394139e-05,0.000248513326106,9.61581433164e-05,0.000183673755233,5.91571090012e-05,0.000252379747309,0.000184647088068,0.000599287107506,0.000994099663577,0.000272475695275,0.00085242808762,0.00231444710676,8.70654190341e-06,1.54858983254e-05,0.00124569289399,0.00195394015401,0.0109636950508,9.87335488935e-05,8.8330297174e-06,2.21027194228e-05,0.00264141985646,0.0131105988337,0.00967884681519,0.0186953158642,0.00398640774522,0.00219941705293,0.0041029256878,3.49242561304e-06,0.000245410963666,0.000844688542913,6.36278229665e-05,1.8470722189e-05,6.21866421202e-05,0.00124816469797,0.000413737006579,0.000549789623206,0.000286162264504,0.000834836845843,0.000426796460078,0.00114485829097,0.00058624786558,0.000959379448266,0.000501206362141,3.85159300239e-05,5.343290782e-05,2.84322043212e-05,0.0001934568593,0.000135131104217,8.54999132775e-06,0.000290145110646,0.000201132304127,0.00177283055472,8.63168742524e-05,0.000177846867524,0.000195631470544,8.63168742524e-05
3,383,0.000439822556842,0.000174562237753,0.000103627483307,8.2410591603e-05,0.000258741149844,0.00013216134831,9.14107120612e-06,0.00181644621547,0.0186453604287,0.00123750922828,0.00479382095965,0.00142005929346,0.00391884022924,0.00249110106371,0.00240571813322,0.00238302331017,0.00226556584438,0.00313988195742,0.00316755358361,0.000288831189257,3.7861142251e-05,0.000637986834279,0.00014924773323,0.00215456320789,0.00158629158918,0.0032622637957,0.00159170400227,0.0287120622524,0.0288495102819,0.0145982226796,0.0195527045525,0.0123305289675,0.00528804931641,0.00361232855371,0.00344703070214,0.0181460543254,0.0127647074167,0.00222214003275,0.00259885806318,0.00566708655428,0.0117077721058,0.0041592095042,9.31360889373e-05,5.02355539072e-05,0.000258957124351,9.76702575392e-05,0.000198584275592,6.44661444471e-05,0.000273781683379,0.000200495296964,0.000646701010322,0.00105981413329,0.000290365713078,0.000869158097058,0.00235689312832,8.95230195756e-06,1.42645547599e-05,0.00139988286892,0.00199295035301,0.0109004480857,9.90564986964e-05,8.58403818056e-06,2.2644637749e-05,0.00262646712395,0.0130414638392,0.00962329277951,0.0185634084718,0.00396478256299,0.00218754828027,0.00407919138522,3.53545201293e-06,0.000242571036161,0.000849167807898,6.32766713003e-05,1.91324388597e-05,6.39541600044e-05,0.00125754467423,0.000417825074527,0.000571683280456,0.000298934209709,0.000874025902619,0.000450087352932,0.00118522294945,0.000610284866435,0.000984559545782,0.000516247583826,3.92061067163e-05,5.55628852165e-05,2.68115052496e-05,0.000197336186897,0.000134494308019,8.57039834171e-06,0.000285369563958,0.000203675393429,0.00181118047833,8.74445301052e-05,0.000189155310818,0.000200020210755,8.74445301052e-05
4,384,0.000457,0.0001989,0.0001191,9.554e-05,0.0002999,0.0001529,9.065e-06,0.001916,0.01927,0.001313,0.005718,0.00151,0.00411,0.002578,0.002478,0.002435,0.002304,0.003203,0.003239,0.0003037,4.086e-05,0.000659,0.0001635,0.002196,0.001606,0.003286,0.001606,0.0292,0.02927,0.01471,0.01974,0.01255,0.005314,0.003631,0.003466,0.01835,0.01283,0.002238,0.002634,0.005763,0.01177,0.004202,9.756e-05,5.239e-05,0.0002704,9.975e-05,0.0002213,7.231e-05,0.0003063,0.0002227,0.0007175,0.00116,0.000317,0.0009031,0.002448,8.873e-06,1.29e-05,0.001589,0.002076,0.01102,0.0001013,8.587e-06,2.339e-05,0.002656,0.01319,0.009726,0.01874,0.004006,0.002212,0.004122,3.595e-06,0.0002414,0.0008664,6.34e-05,1.978e-05,6.653e-05,0.001289,0.0004299,0.0005949,0.0003125,0.0009187,0.0004758,0.001229,0.0006367,0.001012,0.0005327,4.001e-05,5.757e-05,2.546e-05,0.0002023,0.0001343,8.537e-06,0.0002815,0.0002067,0.001855,8.958e-05,0.0002014,0.0002057,8.958e-05
5,385,0.000475277318518,0.000230109932143,0.000138192618268,0.00011192372294,0.000350702887343,0.000178451777975,9.17342082718e-06,0.00203982957991,0.0201919943719,0.00141529328765,0.0069225683033,0.0016335536794,0.00436490484298,0.00271201496091,0.00259184763698,0.00252545273192,0.00237719115218,0.00331590301893,0.00336329440673,0.000325269828424,4.50900192159e-05,0.000692638909708,0.00018244620373,0.00226912174148,0.00164659759025,0.00335257756429,0.0016403312118,0.0300798936995,0.0301043013314,0.0150292173774,0.0202025205066,0.0129318668873,0.0054137520752,0.00369990395169,0.00353322267728,0.0188107103616,0.0130723082854,0.00228414410838,0.00270347532369,0.0059379361765,0.0119915784801,0.00429853250984,0.00010309046097,5.48704450135e-05,0.000282722380686,0.000102320004462,0.000251647313635,8.24993079197e-05,0.000348963772393,0.000250611477939,0.000809894983202,0.0012917964637,0.000352795167242,0.000952407073712,0.00258188179973,8.62511515669e-06,1.16883801445e-05,0.00180713872018,0.00219789350621,0.0112965222577,0.000105339789724,8.91357641134e-06,2.4375237932e-05,0.0027238362529,0.0135250529166,0.00996443555622,0.0191815424431,0.00410110731032,0.00226780434232,0.00422171681148,3.69267690617e-06,0.000242479109681,0.000894912019662,6.40496333744e-05,2.0534989697e-05,6.9966337657e-05,0.00133960634602,0.000449013358347,0.00061954032987,0.000326841943535,0.000968557939126,0.00050388259657,0.00127619682465,0.000665422696784,0.00104152237625,0.000550546588923,4.11418810509e-05,5.97197934559e-05,2.45269981041e-05,0.000208259877941,0.000134755430494,8.56355836187e-06,0.0002791332957,0.00021050588998,0.00190304088012,9.26173853707e-05,0.000215558631539,0.000214231691614,9.26173853707e-05
6,386,0.00049449180622,0.000267765981983,0.000160678344236,0.000131317443743,0.000410568815416,0.000208383173594,9.55687414025e-06,0.00218213320499,0.0213586636513,0.00154093776166,0.00838691581938,0.00178660694528,0.00467273622533,0.00288621880607,0.00274071813322,0.00264824026241,0.00247912539249,0.00347025456041,0.00353200198116,0.000352839907297,5.04860694528e-05,0.000737374514055,0.000205837610272,0.00236819544333,0.00170443964937,0.00345370506878,0.00169052917539,0.0312824648624,0.031284148288,0.0155204816462,0.0208934403035,0.0134482205069,0.00557498828125,0.00381035969273,0.00364038703648,0.0194826321397,0.0134605838816,0.00235515550239,0.00280114501719,0.00617767639803,0.0123433664773,0.00443817951929,0.000110163359001,5.79389989533e-05,0.000295783227422,0.00010531038427,0.00028912383747,9.48902113861e-05,0.000400771256355,0.000283751384943,0.000921998127243,0.00145224962246,0.000397473618795,0.00101496527923,0.00275254003439,8.35429580966e-06,1.08708563846e-05,0.00204869969909,0.00235327259644,0.011703612814,0.000111012475703,9.61644090161e-06,2.56247445051e-05,0.00282361804725,0.0140148751495,0.0103156025718,0.0198436053379,0.00424101773699,0.00234987531773,0.00436857433089,3.84644082685e-06,0.000246291452975,0.000933187186005,6.52778702527e-05,2.14989458732e-05,7.43110294557e-05,0.00140641017494,0.000474194654605,0.000645603624028,0.000341926141971,0.00102317578499,0.000534246357282,0.00132669895709,0.000696335530054,0.00107289075583,0.000569725646681,4.27800089713e-05,6.22455496785e-05,2.41384563771e-05,0.000215111690715,0.000136007440565,8.74619712545e-06,0.00027869969535,0.000215321860048,0.00195415333433,9.64451102721e-05,0.000232423368346,0.000226907313472,9.64451102721e-05
7,387,0.000513879742636,0.000307299051998,0.000184672232701,0.000151902783559,0.000474563874722,0.000239831287684,9.94420552319e-06,0.00231686728154,0.0225040515779,0.00166952219811,0.00995286622496,0.0019447090533,0.00497764277729,0.00306250465211,0.00288922568231,0.00276874921326,0.00257831723271,0.00362114008999,0.0036978933783,0.00038066545305,5.61354987361e-05,0.000782546058706,0.0002298198425,0.00246395494671,0.00176052012758,0.00354932045268,0.00173736498147,0.0324458883915,0.0324417222135,0.0159964850233,0.0215642413943,0.0139506682269,0.00573162145996,0.00391676903771,0.00374376623009,0.0201298208837,0.0138338296669,0.00242318943677,0.00289549918055,0.00640968044562,0.0126787997159,0.00456988814329,0.00011764141674,6.08153867935e-05,0.000308898732221,0.00010835099864,0.000327796563925,0.000108105219102,0.000454132851457,0.00031854288552,0.00103979056694,0.00162079621489,0.000444244485167,0.001077432396,0.00292520002126,7.96291258656e-06,1.0237905208e-05,0.00228491995558,0.00251085038443,0.0120995016377,0.00011678856026,1.0466751466e-05,2.69020196796e-05,0.00292088798267,0.0144899733431,0.0106563129859,0.0204881684664,0.00437700188946,0.00243038622521,0.00451068325441,4.02988784133e-06,0.000250241498825,0.000969564866178,6.63172086608e-05,2.25583167847e-05,7.88994605076e-05,0.0014722626591,0.000499214262952,0.000672301413504,0.000357319357256,0.0010793642994,0.000565779018216,0.00137885634193,0.000728198128294,0.00110455528851,0.000589465812486,4.44268820322e-05,6.4966294617e-05,2.37314539041e-05,0.000222176702268,0.000137582764081,8.8972082794e-06,0.000279457926685,0.000220705155923,0.00200385721161,0.000100412410859,0.000249576488966,0.000240034963449,0.000100412410859
8,388,0.0005327,0.0003444,0.0002086,0.0001721,0.0005385,0.0002703,1.008e-05,0.00242,0.02338,0.001782,0.01147,0.002085,0.005228,0.003205,0.003004,0.002854,0.002645,0.003726,0.003816,0.0004031,6.114e-05,0.0008178,0.0002505,0.002529,0.001797,0.003602,0.001763,0.03323,0.03323,0.01628,0.02198,0.0143,0.005821,0.003976,0.003802,0.02053,0.01404,0.002462,0.002957,0.006566,0.01286,0.004646,0.0001244,6.277e-05,0.0003214,0.0001111,0.0003618,0.0001209,0.0005019,0.0003518,0.00115,0.001778,0.0004861,0.001127,0.003067,7.369e-06,9.569e-06,0.002489,0.002641,0.01235,0.0001212,1.124e-05,2.798e-05,0.002983,0.01479,0.01087,0.02089,0.004463,0.002483,0.004599,4.217e-06,0.0002519,0.0009931,6.647e-05,2.36e-05,8.312e-05,0.001521,0.0005182,0.0006988,0.0003726,0.001134,0.0005974,0.001431,0.0007598,0.001135,0.000609,4.561e-05,6.771e-05,2.278e-05,0.0002288,0.000139,8.838e-06,0.0002806,0.0002262,0.002048,0.0001039,0.0002647,0.0002501,0.0001039
9,389,0.000550818115234,0.000379323510742,0.000232667784424,0.00019200946167,0.000602822607422,0.000299892023926,1.02028841553e-05,0.00248995007324,0.0239712524414,0.00187768774414,0.0129301364746,0.0022064432373,0.00542153967285,0.00331154504395,0.00308304370117,0.00290227478027,0.00267725097656,0.00378233654785,0.00388388525391,0.00042011015625,6.55489916992e-05,0.000842841772461,0.000268055480957,0.00256176025391,0.0018128885498,0.00360903442383,0.00176605822754,0.033616060791,0.0336298876953,0.0163599438477,0.0221265466309,0.0144895898437,0.00583925183105,0.00398529711914,0.00381245922852,0.0206695227051,0.014069083252,0.00246989013672,0.00298393322754,0.00664261975098,0.0128773657227,0.00466311315918,0.000131416845703,6.45257385254e-05,0.000333180310059,0.000113537188721,0.000391333557129,0.000133367954102,0.000544175610352,0.000383701318359,0.00125229490967,0.00192311760254,0.000523299560547,0.0011632284668,0.00317636218262,6.8924597168e-06,9.30236572266e-06,0.00265990723877,0.00274223510742,0.0124473059082,0.000124325073242,1.20637342529e-05,2.89589880371e-05,0.00300809399414,0.0149055822754,0.0109499233398,0.0210357324219,0.00449640856934,0.00250628039551,0.00463066308594,4.44220617676e-06,0.000252866833496,0.00100458864746,6.61039147949e-05,2.48183959961e-05,8.72333898926e-05,0.00155215722656,0.000531144274902,0.000725108642578,0.000387769006348,0.00118683563232,0.000629063366699,0.00148301000977,0.000791093835449,0.0011641126709,0.000628302832031,4.67834606934e-05,7.09218530273e-05,2.16767370605e-05,0.000234933044434,0.000140565026855,8.79608422852e-06,0.000282803967285,0.000232216601562,0.00208602282715,0.000106860522461,0.000279804748535,0.000260355712891,0.000106860522461
10,390,0.0005681546875,0.000412865625,0.000257422304688,0.000212015507812,0.00066881640625,0.000329148203125,1.06172773438e-05,0.00252826953125,0.024292578125,0.0019582265625,0.0143403046875,0.00231071484375,0.00556268359375,0.00338405859375,0.003128140625,0.00291542578125,0.0026764765625,0.00379237890625,0.003903984375,0.000432190625,6.9500703125e-05,0.00085839140625,0.000282985546875,0.0025639453125,0.00180930078125,0.0035721796875,0.00174737109375,0.0336251953125,0.033661953125,0.016245,0.0220161328125,0.014529453125,0.00578941015625,0.00394671875,0.0037771328125,0.0205602734375,0.0139281640625,0.00244815625,0.00297808984375,0.00664361328125,0.012737109375,0.00462355078125,0.0001399090625,6.70051953125e-05,0.000344182421875,0.000115685351563,0.000417147265625,0.000145795078125,0.0005819375,0.00041494609375,0.00134781679687,0.00205754921875,0.00055656953125,0.00118702578125,0.00325541796875,6.917484375e-06,9.94921875e-06,0.00279999960937,0.002816359375,0.0123986328125,0.0001264140625,1.31039179687e-05,2.99784765625e-05,0.0029979453125,0.0148453515625,0.010902421875,0.0209371875,0.00447983203125,0.00250174609375,0.0046083515625,4.74701953125e-06,0.000255280078125,0.00100633046875,6.57442578125e-05,2.6444765625e-05,9.16200390625e-05,0.0015671875,0.000538757421875,0.00075127265625,0.000402866796875,0.00123787460938,0.000660814453125,0.001534859375,0.000822135546875,0.00119191015625,0.00064740625,4.85223046875e-05,7.5129375e-05,2.09386328125e-05,0.000240587890625,0.000142659765625,9.0529375e-06,0.000286858984375,0.0002392484375,0.00211785546875,0.00010931,0.000297446484375,0.00027492734375,0.00010931
11,391,0.000585592626953,0.000450436254883,0.000289244691162,0.000237183101807,0.000752249755859,0.000365784001465,1.09815958252e-05,0.00257230236816,0.0247061791992,0.00205305932617,0.0159330734863,0.00243381018066,0.00573547546387,0.00347158728027,0.00318216918945,0.00292696594238,0.00267819921875,0.00380455456543,0.00392307373047,0.000441291796875,7.32721899414e-05,0.00087108449707,0.000294311462402,0.00257269384766,0.00180966467285,0.00354476928711,0.00173467565918,0.033688651123,0.0337523876953,0.0161434155273,0.0219279699707,0.0146008105469,0.00574301037598,0.00391113647461,0.00374486206055,0.0204789489746,0.0138018591309,0.00242937158203,0.00297896862793,0.00666103503418,0.0126172729492,0.00459517443848,0.000147724599609,6.91002233887e-05,0.000354991711426,0.00011816605835,0.000440576257324,0.000160997758789,0.000624190795898,0.000453574755859,0.00145511109619,0.0022096416748,0.000582123974609,0.00120936616211,0.00334549475098,6.80869458008e-06,1.02348803711e-05,0.0029455661499,0.00289980981445,0.0123593200684,0.00012845949707,1.41904508057e-05,3.09620715332e-05,0.00298974291992,0.0147958679199,0.0108625512695,0.0208579003906,0.00446764074707,0.00250007849121,0.00458988867188,5.06504626465e-06,0.00025807130127,0.00100839875488,6.56088830566e-05,2.8025012207e-05,9.67426306152e-05,0.00158517871094,0.000547653527832,0.000776774658203,0.000418301843262,0.0012899588501,0.000694110314941,0.00158751928711,0.00085420357666,0.00121948547363,0.000666797949219,5.00821398926e-05,7.94336938477e-05,2.0196998291e-05,0.000246470129395,0.000144500256348,9.14833764648e-06,0.000290404187012,0.000246297265625,0.00215026379395,0.000112052290039,0.000314270593262,0.000288694580078,0.000112052290039
12,392,0.000604,0.0004977,0.0003344,0.0002725,0.0008686,0.0004174,1.109e-05,0.00266,0.02558,0.002192,0.01794,0.002612,0.006025,0.003624,0.003289,0.002972,0.002719,0.003869,0.00399,0.0004499,7.724e-05,0.0008883,0.0003016,0.002626,0.001838,0.003581,0.001756,0.03425,0.03434,0.01627,0.02215,0.01489,0.005774,0.003931,0.003766,0.02071,0.01388,0.002447,0.003027,0.006789,0.0127,0.004647,0.0001533,7.012e-05,0.0003662,0.0001216,0.0004636,0.0001818,0.0006803,0.0005076,0.001593,0.002408,0.0005972,0.001242,0.003489,6.096e-06,9.131e-06,0.003134,0.00303,0.01249,0.0001316,1.523e-05,3.19e-05,0.003022,0.01495,0.01097,0.02107,0.004516,0.002533,0.004635,5.348e-06,0.0002611,0.001022,6.613e-05,2.921e-05,0.0001032,0.001626,0.0005648,0.0008012,0.0004345,0.001346,0.0007304,0.001642,0.0008886,0.001248,0.000687,5.098e-05,8.316e-05,1.931e-05,0.0002533,0.0001455,8.752e-06,0.0002915,0.0002526,0.00219,0.0001159,0.0003281,0.0002984,0.0001159
13,393,0.00062332409668,0.000554444226074,0.000392853747559,0.000317890610352,0.00101761191406,0.000483884204102,1.10272052002e-05,0.0027909296875,0.0269074108887,0.00237411291504,0.0203434187012,0.00284400036621,0.00643004833984,0.00383966003418,0.0034473737793,0.00304964099121,0.00279811547852,0.00398464489746,0.00410354199219,0.000457821789551,8.13879272461e-05,0.000909695507813,0.000304720849609,0.00272360644531,0.00189397546387,0.00368024206543,0.00181114453125,0.0353033544922,0.0354171386719,0.0166208959961,0.0226771203613,0.0153943725586,0.0058809239502,0.00400536901855,0.00383964929199,0.0212494287109,0.0141593261719,0.00250050805664,0.00312165917969,0.00702633093262,0.0129826025391,0.00477822961426,0.000157315102539,7.06194360352e-05,0.000377769763184,0.000126035784912,0.000485935754395,0.000208160506592,0.000750060961914,0.000576911315918,0.00176040997314,0.00265090380859,0.000601337182617,0.00128448470459,0.00368452050781,4.97979785156e-06,6.87170568848e-06,0.00336451867676,0.00320558459473,0.0127879394531,0.000135889233398,1.63018687744e-05,3.28501025391e-05,0.00309398852539,0.0153044567871,0.0112223537598,0.0215687158203,0.00462390856934,0.00259991809082,0.00474271105957,5.61537036133e-06,0.00026530189209,0.00104785015869,6.75372668457e-05,3.00943798828e-05,0.000111113861084,0.00168945117188,0.000590237390137,0.000824497180176,0.000451472595215,0.00140589329834,0.000769679614258,0.0016981763916,0.000925307312012,0.00127742675781,0.000708003686523,5.14334033203e-05,8.65082104492e-05,1.85070166016e-05,0.000261089697266,0.000145884887695,8.06729187012e-06,0.00029058293457,0.00025845078125,0.00223713745117,0.000120878376465,0.000340287072754,0.000306345288086,0.000120878376465
14,394,0.00064343984375,0.000620116015625,0.000463958203125,0.00037280125,0.00119749296875,0.000564403125,1.09745898437e-05,0.002962078125,0.0286565234375,0.00259623828125,0.0231046640625,0.00312570703125,0.00694328125,0.00411344921875,0.0036531875,0.00315730859375,0.002912640625,0.00414764453125,0.00426003125,0.000465008203125,8.5731171875e-05,0.000934828125,0.00030391875,0.0028628984375,0.00197577734375,0.00383826171875,0.001897953125,0.036816484375,0.036950234375,0.01718,0.0234876953125,0.0161,0.00605820703125,0.00413030078125,0.00396202734375,0.02207640625,0.014625390625,0.0025873671875,0.003259890625,0.00736589453125,0.01345109375,0.00498350390625,0.00016098703125,7.150671875e-05,0.000389626953125,0.000131482226562,0.000507523046875,0.000239799726563,0.0008327203125,0.000660695703125,0.00195481835938,0.002934328125,0.0005949140625,0.00133594257813,0.0039279140625,3.8085703125e-06,3.93408203125e-06,0.00363403515625,0.00342282421875,0.013241484375,0.000141390625,1.75453554687e-05,3.39153125e-05,0.0032028671875,0.0158451953125,0.0116094453125,0.02233390625,0.00478718359375,0.00269845703125,0.00490868359375,5.9025e-06,0.000272237109375,0.00108656132812,7.01681640625e-05,3.086734375e-05,0.000120642539062,0.00177428125,0.000623694140625,0.000846713671875,0.000469212109375,0.00146936757812,0.00081183359375,0.00175587109375,0.000964226953125,0.001307703125,0.00072978671875,5.1863203125e-05,8.987015625e-05,1.81784375e-05,0.0002698125,0.00014606953125,7.42211328125e-06,0.00028853984375,0.0002643734375,0.002291265625,0.000126963828125,0.000353170703125,0.000316396875,0.000126963828125
15,395,0.000663186352539,0.000700050744629,0.000546359777832,0.000436124233398,0.00140497548828,0.000657023217773,1.44072747803e-05,0.00317054882812,0.030790670166,0.00285829187012,0.0261622893066,0.0034529786377,0.00755918212891,0.00444195861816,0.0039067121582,0.00330649133301,0.00306392553711,0.00436477160645,0.00447275097656,0.00047974642334,9.20764379883e-05,0.000973149414062,0.000309168994141,0.00304256835937,0.0020839967041,0.00404574377441,0.00200906835937,0.0388192529297,0.03897359375,0.0179589477539,0.0246010290527,0.0170277368164,0.00631207849121,0.0043080045166,0.00413526818848,0.0231965283203,0.0152779101563,0.0027075300293,0.00344134277344,0.00780486682129,0.0140903466797,0.00525244274902,0.000177524838867,8.21563256836e-05,0.000401146105957,0.000137465118408,0.000540159313965,0.000277079459229,0.000933668139648,0.000758795178223,0.00217839544678,0.00325791845703,0.000596958325195,0.00140531436768,0.00422396875,6.67153125e-06,6.32796081543e-06,0.00395209509277,0.00368588562012,0.0138680273438,0.000150474438477,2.06789881592e-05,3.65833740234e-05,0.00335397924805,0.016592833252,0.0121475925293,0.0233884130859,0.00501220031738,0.00283277966309,0.00513870251465,6.64869995117e-06,0.000303649621582,0.00115722078857,7.89885192871e-05,3.41527880859e-05,0.000135086143799,0.00188752148437,0.000669442346191,0.000869531091309,0.000487778918457,0.00153519483643,0.000855837084961,0.00181464343262,0.00100495386963,0.00133889550781,0.00075246027832,5.86905126953e-05,9.9076105957e-05,2.36798193359e-05,0.000279110302734,0.000150273803711,9.62256604004e-06,0.000294680639648,0.000275570898438,0.00234731762695,0.000133673820801,0.000393678796387,0.000370951977539,0.000133673820801
